Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric,129.0,-63.5,180.0,top
C2,100n,C_0805_2012Metric,149.5,-130.365,0.0,top
C3,100n,C_0805_2012Metric,142.0,-134.365,90.0,top
C4,100n,C_0805_2012Metric,162.0,-130.365,0.0,top
C5,100n,C_0805_2012Metric,154.5,-134.365,90.0,top
C6,1u,C_0805_2012Metric,119.0,-102.5,180.0,top
C7,1u,C_0805_2012Metric,114.5,-102.5,0.0,top
C8,100n,C_0805_2012Metric,125.5,-100.0,180.0,top
C9,1u,C_0805_2012Metric,119.0,-110.0,180.0,top
C10,1u,C_0805_2012Metric,114.5,-110.0,0.0,top
C11,1u,C_0805_2012Metric,132.0,-112.5,0.0,top
C12,1u,C_0805_2012Metric,132.0,-107.5,0.0,top
C13,1u,C_0805_2012Metric,139.0,-102.0,90.0,top
C14,100n,C_0805_2012Metric,76.5,-65.0,0.0,top
C15,100n,C_0805_2012Metric,76.5375,-79.0,0.0,top
C16,100n,C_0805_2012Metric,76.5,-109.5,0.0,top
C17,100n,C_0805_2012Metric,76.5,-97.5,0.0,top
C18,100n,C_0805_2012Metric,111.875,-115.5,0.0,top
C19,100n,C_0805_2012Metric,111.5,-129.5,0.0,top
C20,1u,C_0805_2012Metric,119.0,-88.0,180.0,top
C21,1u,C_0805_2012Metric,114.5,-88.0,0.0,top
C22,100n,C_0805_2012Metric,125.5,-85.5,180.0,top
C23,1u,C_0805_2012Metric,119.0,-95.5,180.0,top
C24,1u,C_0805_2012Metric,114.5,-95.5,0.0,top
C25,1u,C_0805_2012Metric,132.0,-98.0,0.0,top
C26,1u,C_0805_2012Metric,132.0,-93.0,0.0,top
C27,1u,C_0805_2012Metric,139.0,-87.5,90.0,top
F1,M3,M3,177.5,-50.0,0.0,top
F2,M3,M3,50.0,-145.0,0.0,top
F3,M3,M3,177.5,-145.0,0.0,top
F4,M3,M3,50.0,-50.0,0.0,top
J1,TEVALULOK4W,te-connectivity_val-u-lok_vertical_4_1586768-4,170.5,-59.0,0.0,top
J2,TEVALULOK12W,te-connectivity_val-u-lok_vertical_12_1-1586768-2,52.0,-68.1,-90.0,top
J3,TEVALULOK12W,te-connectivity_val-u-lok_vertical_12_1-1586768-2,52.0,-97.0,-90.0,top
J4,TEVALULOK12W,te-connectivity_val-u-lok_vertical_12_1-1586768-2,52.0,-126.0,-90.0,top
J8,TEVALULOK4W,te-connectivity_val-u-lok_vertical_4_1586768-4,170.5,-137.0,0.0,top
J10,TEVALULOK8W,te-connectivity_val-u-lok_vertical_8_1586768-8,131.0,-137.0,0.0,top
LD1,LED,LED_0805_2012Metric,167.0,-51.5,180.0,top
LD2,LED,LED_0805_2012Metric,167.0,-129.5,180.0,top
LD3,LED,LED_0805_2012Metric,63.0,-56.5,180.0,top
LD4,LED,LED_0805_2012Metric,63.0,-59.0,180.0,top
LD5,LED,LED_0805_2012Metric,63.0,-61.5,180.0,top
LD6,LED,LED_0805_2012Metric,62.975,-64.0,180.0,top
LD7,LED,LED_0805_2012Metric,62.975,-66.5,180.0,top
LD8,LED,LED_0805_2012Metric,63.0,-69.0,180.0,top
LD9,LED,LED_0805_2012Metric,63.025,-71.5,180.0,top
LD10,LED,LED_0805_2012Metric,62.975,-74.0,180.0,top
LD11,LED,LED_0805_2012Metric,63.0,-88.0,180.0,top
LD12,LED,LED_0805_2012Metric,63.0,-90.5,180.0,top
